strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,19,0,4,rep1,115999.0,11.661336849361689
MIT9312,19,0,5,rep1,182302.0,12.113419931533617
MIT9312,19,0,7,rep1,460070.0,13.039133930801047
MIT9312,19,0,8,rep1,616420.0,13.331683828365058
MIT9312,19,0,10,rep1,1374850.0,14.133855192222871
MIT9312,22,0,1,rep1,54594.0,10.907679265584745
MIT9312,22,0,4,rep1,211271.0,12.260896948562769
MIT9312,22,0,5,rep1,301919.0,12.617914048461227
MIT9312,22,0,7,rep1,1082260.0,13.894562005270778
MIT9312,22,0,8,rep1,1609650.0,14.291527322023382
MIT9312,22,0,10,rep1,3972830.0,15.194989245056702
MIT9312,24,0,1,rep1,58728.0,10.980671893790618
MIT9312,24,0,4,rep1,283080.0,12.553484822189722
MIT9312,24,0,5,rep1,419391.0,12.946558937992236
MIT9312,24,0,7,rep1,1750610.0,14.375474856591362
MIT9312,24,0,8,rep1,3058200.0,14.933337065556188
MIT9312,24,0,10,rep1,6446210.0,15.679002919170015
MIT9312,26,0,1,rep1,46830.0,10.754279302177588
MIT9312,26,0,4,rep1,129146.0,11.768698826306064
MIT9312,26,0,5,rep1,199015.0,12.201135477750357
MIT9312,26,0,7,rep1,538620.0,13.196765591978789
MIT9312,26,0,8,rep1,851360.0,13.654590349830196
MIT9312,26,0,10,rep1,1582460.0,14.274491156219717
MIT9312,28,0,1,rep1,44384.0,10.700634323114558
MIT9312,28,0,4,rep1,164396.0,12.010033430407972
MIT9312,28,0,5,rep1,236973.0,12.375701489576798
MIT9312,28,0,7,rep1,707460.0,13.469436369798775
MIT9312,28,0,8,rep1,965440.0,13.780339234952834
MIT9312,28,0,10,rep1,2203080.0,14.605366939242252
MED4,14,61,1,rep1,20000.0,9.903487552536127
MED4,14,61,3,rep1,35006.6390685767,10.463293010156738
MED4,14,61,4,rep1,43185.5323366019,10.673260818525105
MED4,14,61,5,rep1,54600.0,10.907789161732996
MED4,14,61,7,rep1,77600.0,11.25932270617131
MED4,14,61,10,rep1,135000.0,11.813030057420567
MED4,16,61,1,rep1,29800.0,10.302263672493496
MED4,16,61,3,rep1,49923.2784941164,10.81824267584907
MED4,16,61,4,rep1,57066.3407444686,10.951969742751889
MED4,16,61,5,rep1,66400.0,11.103452335464524
MED4,16,61,7,rep1,96500.0,11.477298287327077
MED4,16,61,10,rep1,169000.0,12.037653993905211
MED4,19,61,1,rep1,28808.0862105519,10.2684113979149
MED4,19,61,3,rep1,51173.284658501,10.842972890837297
MED4,19,61,4,rep1,69185.1862841593,11.144542047651125
MED4,19,61,5,rep1,110000.0,11.608235644774552
MED4,19,61,7,rep1,188000.0,12.144197241812087
MED4,19,61,10,rep1,367000.0,12.813117127036707
MED4,22,61,1,rep1,32114.4332751305,10.377060842801967
MED4,22,61,3,rep1,61254.1305309367,11.022786563372968
MED4,22,61,4,rep1,76831.4091640436,11.249368809019051
MED4,22,61,5,rep1,117000.0,11.669929213779893
MED4,22,61,7,rep1,159000.0,11.976659481202368
MED4,24,61,1,rep1,32580.7432269021,10.391476694262385
MED4,24,61,3,rep1,73376.0236110597,11.203352507439357
MED4,24,61,4,rep1,102405.072167748,11.536691523248995
MED4,24,61,5,rep1,157000.0,11.964001084330445
MED4,24,61,7,rep1,283000.0,12.553202176625375
MED4,26,61,1,rep1,34614.7323588257,10.452034661140177
MED4,26,61,3,rep1,41577.7858324769,10.63532130921195
MED4,26,61,4,rep1,54964.3059076431,10.914439270036263
MED4,26,61,5,rep1,89760.0,11.404894720756523
MED4,26,61,7,rep1,113000.0,11.635143097694478
MED4,28,61,1,rep1,28750.6840815463,10.266416840083162
MED4,28,61,3,rep1,16980.8515469982,9.739841608607763
MED4,28,61,4,rep1,9855.90220661161,9.195825763505287
MED4,28,61,5,rep1,3866.0,8.259975659768276
MED4,14,200,1,rep1,18600.0,9.830916859701293
MED4,14,200,3,rep1,33981.9601752071,10.433585079707141
MED4,14,200,4,rep1,46302.8959520193,10.74295978567812
MED4,14,200,5,rep1,53700.0,10.891168280496956
MED4,14,200,7,rep1,86600.0,11.369055094550527
MED4,14,200,10,rep1,178000.0,12.089538829274222
MED4,16,200,1,rep1,35700.0,10.48290596776773
MED4,16,200,3,rep1,44662.1845811462,10.706882440031803
MED4,16,200,4,rep1,58857.4798046286,10.982874204095886
MED4,16,200,5,rep1,74600.0,11.219895786191852
MED4,16,200,7,rep1,124000.0,11.728036844587175
MED4,16,200,10,rep1,228000.0,12.337100907936577
MED4,19,200,1,rep1,29145.4546741488,10.280054250774805
MED4,19,200,3,rep1,53138.7530726691,10.880661754090609
MED4,19,200,4,rep1,78010.3350845226,11.264596597977858
MED4,19,200,5,rep1,100000.0,11.512925464970229
MED4,19,200,7,rep1,182000.0,12.111761966058932
MED4,19,200,10,rep1,408000.0,12.9190224533863
MED4,22,200,1,rep1,38702.6604807835,10.563663622928432
MED4,22,200,3,rep1,54448.2380201427,10.905005768244184
MED4,22,200,4,rep1,79823.0395778958,11.287567458282293
MED4,22,200,5,rep1,95700.0,11.468973577441046
MED4,22,200,7,rep1,234000.0,12.363076394339839
MED4,22,200,10,rep1,459000.0,13.036805489042683
MED4,24,200,1,rep1,32915.4373830289,10.4016970480722
MED4,24,200,3,rep1,64292.5263236189,11.071198672111363
MED4,24,200,4,rep1,95570.8477657026,11.467623112846628
MED4,24,200,5,rep1,123000.0,11.719939634354555
MED4,24,200,7,rep1,258000.0,12.460714863903755
MED4,24,200,10,rep1,606000.0,13.314635265051452
MED4,26,200,1,rep1,29223.6361737831,10.282733118828196
MED4,26,200,3,rep1,38270.0534177313,10.552422974230932
MED4,26,200,4,rep1,54190.227410577,10.900255865092728
MED4,26,200,5,rep1,66500.0,11.104957226643945
MED4,26,200,7,rep1,93600.0,11.446785662465684
MED4,26,200,10,rep1,247000.0,12.417143615610113
MED4,28,200,1,rep1,27012.7676100947,10.204064907664531
MED4,28,200,3,rep1,15662.8857988435,9.659049230910123
MED4,28,200,4,rep1,7261.76764776007,8.89037855583587
MED4,28,200,5,rep1,2423.0,7.792761720816526
MED4,14,400,1,rep1,18400.0,9.820105943597078
MED4,14,400,3,rep1,14314.3697850855,9.569019191769907
MED4,14,400,4,rep1,15088.6195001238,9.621696063158371
MED4,14,400,5,rep1,11900.0,9.38429367909962
MED4,14,400,7,rep1,9092.0,9.115150184972434
MED4,14,400,10,rep1,3397.0,8.130647968160584
MED4,16,400,1,rep1,27000.0,10.203592144986466
MED4,16,400,3,rep1,11678.3515297621,9.365492110271068
MED4,16,400,4,rep1,11738.3412476831,9.370615792742305
MED4,16,400,5,rep1,10400.0,9.249561085129464
MED4,16,400,7,rep1,11200.0,9.323669057283185
MED4,16,400,10,rep1,7304.0,8.896177422274805
MED4,19,400,1,rep1,36903.7572687768,10.51606864784709
MED4,19,400,3,rep1,32582.417224369,10.3915280729081
MED4,19,400,4,rep1,32344.1211843861,10.384187558048255
MED4,19,400,5,rep1,33200.0,10.410305154904579
MED4,19,400,7,rep1,37000.0,10.51867319162636
MED4,19,400,10,rep1,45800.0,10.732039370102276
MED4,22,400,1,rep1,38363.5408406211,10.554862830280262
MED4,22,400,3,rep1,38352.3701176493,10.55457160717123
MED4,22,400,4,rep1,42363.809466944,10.654049726430644
MED4,22,400,5,rep1,27500.0,10.221941283654663
MED4,22,400,7,rep1,11700.0,9.367344120785848
MED4,22,400,10,rep1,127.0,4.844187086458591
MED4,24,400,1,rep1,33044.2099461755,10.405601639196151
MED4,24,400,3,rep1,48955.7809703775,10.798672740482447
MED4,24,400,4,rep1,57454.3190564078,10.958745459848945
MED4,24,400,5,rep1,67200.0,11.115428526511241
MED4,24,400,7,rep1,92400.0,11.433882257629776
MED4,24,400,10,rep1,72700.0,11.194096663521611
MED4,26,400,1,rep1,34235.3148052517,10.441012986934288
MED4,26,400,3,rep1,25903.5712383136,10.16213612383145
MED4,26,400,4,rep1,33079.4982147956,10.40666898018327
MED4,26,400,5,rep1,38600.0,10.561007555452923
MED4,26,400,7,rep1,54900.0,10.913268627497622
MED4,26,400,10,rep1,76300.0,11.242428217272549
MED4,28,400,1,rep1,28755.5978908937,10.266587736520588
MED4,28,400,3,rep1,7687.01407400542,8.94728770023147
MED4,28,400,4,rep1,2546.8712927768,7.8426209408313285
MED4,28,400,5,rep1,510.0,6.234410725718371
MED4,14,0,1,rep1,18500.0,9.825526011066415
MED4,14,0,3,rep1,35216.2862809311,10.469263933019068
MED4,14,0,4,rep1,43614.6477538254,10.683148330572534
MED4,14,0,5,rep1,55900.0,10.93131965914319
MED4,14,0,7,rep1,98400.0,11.496796083040344
MED4,14,0,10,rep1,200000.0,12.206072645530174
MED4,16,0,1,rep1,30590.1962856483,10.32843485378498
MED4,16,0,3,rep1,47443.724126723,10.767299532418557
MED4,16,0,4,rep1,67891.1667035279,11.125661212352446
MED4,16,0,5,rep1,90300.0,11.410892739405076
MED4,16,0,7,rep1,163000.0,12.0015054797889
MED4,16,0,10,rep1,394000.0,12.884106188280072
MED4,19,0,1,rep1,31335.0080182592,10.352491218547021
MED4,19,0,3,rep1,58264.6316869024,10.972750527643566
MED4,19,0,4,rep1,83735.3014699674,11.335415929448327
MED4,19,0,5,rep1,131000.0,11.782952602183288
MED4,19,0,7,rep1,244000.0,12.404923504275338
MED4,19,0,10,rep1,548000.0,13.214030565930152
MED4,22,0,1,rep1,42397.6380930051,10.654847934314795
MED4,22,0,3,rep1,69086.1726685222,11.14310988363233
MED4,22,0,4,rep1,86760.1060434827,11.370902187202427
MED4,22,0,5,rep1,166000.0,12.01974306733868
MED4,22,0,7,rep1,348000.0,12.759957758756611
MED4,22,0,10,rep1,965000.0,13.779883380321124
MED4,24,0,1,rep1,33942.8938975554,10.432434800255164
MED4,24,0,3,rep1,68209.976131776,11.130346110726054
MED4,24,0,4,rep1,92620.7157575459,11.436268107898922
MED4,24,0,5,rep1,147000.0,11.898187865760873
MED4,24,0,7,rep1,340000.0,12.736700896592344
MED4,24,0,10,rep1,924000.0,13.73646735062382
MED4,26,0,1,rep1,37474.1270787673,10.531406029271011
MED4,26,0,3,rep1,44981.6852249141,10.714010690905603
MED4,26,0,4,rep1,70661.630857121,11.165658000990987
MED4,26,0,5,rep1,96090.0,11.473040531271314
MED4,26,0,7,rep1,244000.0,12.404923504275338
MED4,26,0,10,rep1,641000.0,13.370784735902808
MED4,28,0,1,rep1,24717.8618519466,10.115281413168393
MED4,28,0,3,rep1,21789.2445893164,9.989171759568858
MED4,28,0,4,rep1,16266.1606642071,9.696842195980725
MED4,28,0,5,rep1,9483.0,9.157256000883727
MIT9312,14,90,1,rep2,3244.0,8.084562415235304
MIT9312,16,90,1,rep2,3029.0,8.015987811027237
MIT9312,16,90,4,rep2,765.0,6.639875833826536
MIT9312,16,90,5,rep2,807.0,6.693323668269949
MIT9312,16,90,7,rep2,297.0,5.6937321388027
MIT9312,16-19,90,1,rep2,2174.0,7.684324067681155
MIT9312,16-19,90,4,rep2,680.0,6.522092798170152
MIT9312,16-19,90,5,rep2,807.0,6.693323668269949
MIT9312,16-19,90,7,rep2,1020.0,6.927557906278317
MIT9312,16-19,90,8,rep2,85.0,4.442651256490317
MIT9312,16-19,90,10,rep2,723.0,6.583409222158765
MIT9312,19,90,1,rep2,33713.0,10.425638798632033
MIT9312,19,90,4,rep2,86491.0,11.36779564126401
MIT9312,19,90,5,rep2,119115.0,11.687844691997421
MIT9312,19,90,7,rep2,236770.0,12.374844484777045
MIT9312,19,90,8,rep2,348400.0,12.761106523960486
MIT9312,19,90,10,rep2,714120.0,13.478806294426898
