strain,temperature,h2o2,mu,mu_se,slope_eff,slope_eff_se,kdam,kdam_se,kdam_ci_low,kdam_ci_high,kdam_nonzero,r2,n_obs
MED4,14,200,0.2646081105983442,0.004693239443164395,0.2323298203503767,0.007158332410352764,0.0001613914512398376,4.279842852488303e-05,7.750653133106687e-05,0.0002452763711486084,True,0.9850380974872214,18
MED4,16,200,0.28685396923716217,0.007035305281877044,0.2281691380642347,0.009069065894695466,0.00029342415586463736,5.738978058233354e-05,0.00018094018592326364,0.0004059081258060111,True,0.9753458555159489,18
MED4,19,200,0.3320941324355567,0.007826142810154387,0.2883068539782303,0.004325123884322893,0.00021893639228663192,4.4708838024397244e-05,0.00013130706975881333,0.00030656571481445054,True,0.9964120521394628,18
MED4,22,200,0.35749562779977667,0.010730056197881513,0.2347444135777184,0.02007675060931979,0.0006137560711102913,0.00011382113391617107,0.00039066664863459603,0.0008368454935859866,True,0.8952269800643032,18
MED4,24,200,0.3479475456773385,0.013019046125195185,0.283840674381454,0.015081963935211365,0.00032053435647942246,9.961942558469407e-05,0.0001252802823334221,0.0005157884306254228,True,0.9567786817561569,18
MED4,26,200,0.3183833904398072,0.015016570184130888,0.235118064848285,0.008659476035634361,0.00041632662795761084,8.667235795030827e-05,0.0002464488063750066,0.0005862044495402151,True,0.9787574669247577,18
MED4,28,200,-0.2429884742698706,0.03485584493377169,-0.5033701091180912,0.06731806831047928,0.0013019081742411032,0.0003790333839881881,0.0005590027416242545,0.002044813606857952,True,0.8482844929249946,12
MED4,14,400,0.2646081105983442,0.004693239443164395,-0.1888649374520384,0.031148590321167076,0.0011336826201259565,7.87504434696552e-05,0.0009793317509254322,0.0012880334893264807,True,0.6967644658980856,18
MED4,16,400,0.28685396923716217,0.007035305281877044,-0.10295002365014606,0.031245038178160676,0.0009745099822182705,8.006824944867055e-05,0.0008175762132988763,0.0011314437511376649,True,0.4042415832228098,18
MED4,19,400,0.3320941324355567,0.007826142810154387,0.026282166780197885,0.009886113161843539,0.0007645299141383969,3.152218908302008e-05,0.0007027464235356776,0.0008263134047411162,True,0.30638606368033416,18
MED4,22,400,0.35749562779977667,0.010730056197881513,-0.6197997968634065,0.08993746851441996,0.002443238561657958,0.00022643821382432305,0.0019994196625622847,0.002887057460753631,True,0.7480002174082655,18
MED4,24,400,0.3479475456773385,0.013019046125195185,0.12368292679916401,0.014080855674917193,0.0005606615471954362,4.794306900818716e-05,0.00046669313193938933,0.000654629962451483,True,0.828242378416564,18
